new_num,new_dir,new_street,new_street_type,old_num,old_dir,old_street,old_street_type,duplicate
1226,w,Winnemac,Avenue,1102,w,Winnemac,Avenue,
1234,w,Winnemac,Avenue,1090,w,Winnemac,Avenue,
1238,w,Winnemac,Avenue,1086,w,Winnemac,Avenue,
1246,w,Winnemac,Avenue,1080,w,Winnemac,Avenue,
1250,w,Winnemac,Avenue,1074,w,Winnemac,Avenue,
1254,w,Winnemac,Avenue,1072,w,Winnemac,Avenue,
1258,w,Winnemac,Avenue,1066,w,Winnemac,Avenue,
1300,w,Winnemac,Avenue,1060,w,Winnemac,Avenue,
1304,w,Winnemac,Avenue,1056,w,Winnemac,Avenue,
1306,w,Winnemac,Avenue,1054,w,Winnemac,Avenue,
1310,w,Winnemac,Avenue,1050,w,Winnemac,Avenue,
1340,w,Winnemac,Avenue,1018,w,Winnemac,Avenue,
1342,w,Winnemac,Avenue,1020,w,Winnemac,Avenue,
1424,w,Winnemac,Avenue,962,w,Winnemac,Avenue,
1430,w,Winnemac,Avenue,956,w,Winnemac,Avenue,
1434,w,Winnemac,Avenue,950,w,Winnemac,Avenue,
1448,w,Winnemac,Avenue,938,w,Winnemac,Avenue,
1454,w,Winnemac,Avenue,932,w,Winnemac,Avenue,
1456,w,Winnemac,Avenue,928,w,Winnemac,Avenue,
1462,w,Winnemac,Avenue,924,w,Winnemac,Avenue,
1516,w,Winnemac,Avenue,818,w,Winnemac,Avenue,
1518,w,Winnemac,Avenue,816,w,Winnemac,Avenue,
1608,w,Winnemac,Avenue,748,w,Winnemac,Avenue,
1610,w,Winnemac,Avenue,750,w,Winnemac,Avenue,
1614,w,Winnemac,Avenue,744,w,Winnemac,Avenue,
1618,w,Winnemac,Avenue,740,w,Winnemac,Avenue,
1620,w,Winnemac,Avenue,"""",w,Winnemac,Avenue,Might mean the old address didn't exist or it was the same as old address 740/new address 1618
1622,w,Winnemac,Avenue,738,w,Winnemac,Avenue,
1626,w,Winnemac,Avenue,732,w,Winnemac,Avenue,
1628,w,Winnemac,Avenue,730,w,Winnemac,Avenue,
1632,w,Winnemac,Avenue,728,w,Winnemac,Avenue,
1634,w,Winnemac,Avenue,726,w,Winnemac,Avenue,
1636,w,Winnemac,Avenue,720,w,Winnemac,Avenue,
1638,w,Winnemac,Avenue,718,w,Winnemac,Avenue,
1640,w,Winnemac,Avenue,716,w,Winnemac,Avenue,
1706,w,Winnemac,Avenue,708,w,Winnemac,Avenue,
1708,w,Winnemac,Avenue,706,w,Winnemac,Avenue,
1710,w,Winnemac,Avenue,704,w,Winnemac,Avenue,
1716,w,Winnemac,Avenue,664,w,Winnemac,Avenue,
1740,w,Winnemac,Avenue,642,w,Winnemac,Avenue,
1744,w,Winnemac,Avenue,636,w,Winnemac,Avenue,
1750,w,Winnemac,Avenue,628,w,Winnemac,Avenue,
1754,w,Winnemac,Avenue,626,w,Winnemac,Avenue,
1756,w,Winnemac,Avenue,624,w,Winnemac,Avenue,
1774,w,Winnemac,Avenue,606,w,Winnemac,Avenue,
1776,w,Winnemac,Avenue,602,w,Winnemac,Avenue,
1802,w,Winnemac,Avenue,556,w,Winnemac,Avenue,
1806,w,Winnemac,Avenue,550,w,Winnemac,Avenue,
1810,w,Winnemac,Avenue,544,w,Winnemac,Avenue,
1812,w,Winnemac,Avenue,542,w,Winnemac,Avenue,
1918,w,Winnemac,Avenue,498,w,Winnemac,Avenue,
1922,w,Winnemac,Avenue,492,w,Winnemac,Avenue,
1926,w,Winnemac,Avenue,490,w,Winnemac,Avenue,
1930,w,Winnemac,Avenue,488,w,Winnemac,Avenue,
2000,w,Winnemac,Avenue,na,w,Winnemac,Avenue,
2002,w,Winnemac,Avenue,na,w,Winnemac,Avenue,
2030,w,Winnemac,Avenue,334,w,Winnemac,Avenue,
2046,w,Winnemac,Avenue,316,w,Winnemac,Avenue,
2216,w,Winnemac,Avenue,144,w,Winnemac,Avenue,
2112,w,Winnemac,Avenue,560,w,Winnemac,Avenue,
2238,w,Winnemac,Avenue,122,w,Winnemac,Avenue,
2240,w,Winnemac,Avenue,120,w,Winnemac,Avenue,
2242,w,Winnemac,Avenue,116,w,Winnemac,Avenue,
2246,w,Winnemac,Avenue,114,w,Winnemac,Avenue,
2248,w,Winnemac,Avenue,112,w,Winnemac,Avenue,
2250,w,Winnemac,Avenue,110,w,Winnemac,Avenue,
2252,w,Winnemac,Avenue,108,w,Winnemac,Avenue,
2300,w,Winnemac,Avenue,60,w,Winnemac,Avenue,
2306,w,Winnemac,Avenue,54,w,Winnemac,Avenue,
2308,w,Winnemac,Avenue,52,w,Winnemac,Avenue,
2310,w,Winnemac,Avenue,48,w,Winnemac,Avenue,
2314,w,Winnemac,Avenue,44,w,Winnemac,Avenue,
2316,w,Winnemac,Avenue,42,w,Winnemac,Avenue,
2332,w,Winnemac,Avenue,26,w,Winnemac,Avenue,
2338,w,Winnemac,Avenue,20,w,Winnemac,Avenue,
2342,w,Winnemac,Avenue,16,w,Winnemac,Avenue,
2414,w,Winnemac,Avenue,17w,w,Winnemac,Avenue,
2418,w,Winnemac,Avenue,19w,w,Winnemac,Avenue,
2420,w,Winnemac,Avenue,21w,w,Winnemac,Avenue,
2422,w,Winnemac,Avenue,23w,w,Winnemac,Avenue,
2424,w,Winnemac,Avenue,27w,w,Winnemac,Avenue,
2430,w,Winnemac,Avenue,31w,w,Winnemac,Avenue,
2432,w,Winnemac,Avenue,33w,w,Winnemac,Avenue,
